epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,950.357,0.44472,0.06829,0.07889,0.71855,0.88762,0.81668,0.78258,0.80366,0.73167,0.21354,0.19987,0.21832,0.20694,0.4296,0.04985,0.01609,0.59253,0.89674,0.00040623,0.00040623,0.00040623
48,971.028,0.45156,0.0642,0.07051,0.71615,0.90023,0.78914,0.78339,0.80011,0.73458,0.19134,0.21023,0.21719,0.20679,0.43852,0.05206,0.02055,0.5783,0.90806,0.000403626,0.000403626,0.000403626
49,991.735,0.45052,0.07283,0.07888,0.67405,0.89906,0.84971,0.74543,0.79371,0.72319,0.19892,0.18213,0.20876,0.19983,0.45939,0.04506,0.01788,0.60104,0.90531,0.000401022,0.000401022,0.000401022
50,1012.85,0.41524,0.07243,0.08308,0.68698,0.88415,0.76861,0.78455,0.80102,0.72764,0.18701,0.23236,0.21973,0.20595,0.45737,0.04668,0.01924,0.57429,0.91016,0.000398419,0.000398419,0.000398419
51,1034,0.43521,0.06428,0.07802,0.69023,0.8858,0.78889,0.76704,0.81221,0.74286,0.17485,0.22785,0.22202,0.20926,0.43979,0.04919,0.01647,0.52595,0.90959,0.000395815,0.000395815,0.000395815
52,1054.85,0.41956,0.05236,0.07998,0.67086,0.87996,0.80959,0.75385,0.80784,0.74438,0.20057,0.17802,0.21217,0.20475,0.42427,0.05138,0.02321,0.54445,0.90521,0.000393211,0.000393211,0.000393211
53,1074.57,0.42492,0.07641,0.06611,0.71348,0.8932,0.75908,0.79712,0.81076,0.73171,0.19144,0.22521,0.22006,0.21204,0.43545,0.05314,0.02143,0.57019,0.90914,0.000390608,0.000390608,0.000390608
54,1094.46,0.3974,0.06369,0.07339,0.65717,0.88613,0.77249,0.80546,0.81033,0.70804,0.20818,0.19966,0.214,0.20835,0.50906,0.04568,0.03162,0.60317,0.92541,0.000388004,0.000388004,0.000388004
55,1114.15,0.39499,0.06367,0.07011,0.64139,0.87835,0.79599,0.76476,0.80151,0.73389,0.20811,0.17935,0.2106,0.20297,0.41816,0.04393,0.02131,0.53678,0.90224,0.0003854,0.0003854,0.0003854
56,1133.97,0.42955,0.06597,0.06853,0.6817,0.88581,0.77067,0.80278,0.80228,0.73458,0.18098,0.22246,0.2158,0.20711,0.42098,0.05261,0.01591,0.52771,0.90429,0.000382796,0.000382796,0.000382796
57,1153.78,0.40778,0.07256,0.06268,0.62493,0.88044,0.90728,0.71522,0.79407,0.7343,0.18418,0.22029,0.21342,0.20592,0.42755,0.04823,0.01915,0.55376,0.9018,0.000380193,0.000380193,0.000380193
58,1173.51,0.40237,0.06616,0.06555,0.648,0.87618,0.80722,0.76073,0.81102,0.73827,0.20672,0.2279,0.21956,0.20837,0.42905,0.04436,0.01199,0.56622,0.89169,0.000377589,0.000377589,0.000377589
59,1193.5,0.42646,0.0658,0.0665,0.6481,0.88655,0.7632,0.80715,0.82034,0.74253,0.19208,0.21955,0.22464,0.2139,0.41299,0.04294,0.01507,0.5013,0.89174,0.000374985,0.000374985,0.000374985
60,1213.49,0.4116,0.06716,0.07114,0.64975,0.89862,0.82884,0.76556,0.80737,0.7429,0.1936,0.2017,0.21466,0.20451,0.41659,0.05124,0.01531,0.53927,0.8988,0.000372382,0.000372382,0.000372382
61,1233.19,0.36857,0.06419,0.07119,0.58501,0.86333,0.76628,0.80945,0.8134,0.74936,0.19732,0.23725,0.22072,0.20958,0.41837,0.05335,0.01699,0.49754,0.8948,0.000369778,0.000369778,0.000369778
62,1253.06,0.4015,0.06443,0.05996,0.58542,0.88478,0.77985,0.82028,0.82927,0.76212,0.2088,0.22638,0.23031,0.22078,0.41493,0.04583,0.01399,0.48182,0.89439,0.000367174,0.000367174,0.000367174
63,1273.12,0.38724,0.05478,0.05143,0.61827,0.86259,0.7964,0.76646,0.81476,0.74974,0.19615,0.21022,0.22051,0.21227,0.41368,0.0516,0.01592,0.54375,0.89113,0.000364571,0.000364571,0.000364571
64,1292.95,0.37694,0.06268,0.06935,0.60176,0.86939,0.78205,0.7713,0.80122,0.74089,0.17968,0.23113,0.21353,0.20462,0.39851,0.0416,0.01794,0.52686,0.89467,0.000361967,0.000361967,0.000361967
65,1313.04,0.38574,0.06165,0.09011,0.57964,0.86067,0.75586,0.83602,0.82609,0.75377,0.19533,0.24344,0.22056,0.21079,0.40519,0.04139,0.02115,0.51683,0.89381,0.000359363,0.000359363,0.000359363
66,1333.63,0.39367,0.05455,0.05793,0.59681,0.87821,0.85715,0.73305,0.81178,0.74024,0.1777,0.23495,0.21489,0.20744,0.42422,0.05059,0.0126,0.51208,0.89636,0.00035676,0.00035676,0.00035676
67,1353.87,0.39243,0.05524,0.06037,0.58964,0.89078,0.77678,0.80665,0.8141,0.74372,0.18191,0.22062,0.2116,0.20542,0.42511,0.04276,0.01403,0.50284,0.90063,0.000354156,0.000354156,0.000354156
68,1373.79,0.37875,0.05193,0.08116,0.58329,0.87919,0.76771,0.81985,0.80657,0.74995,0.19843,0.23896,0.21996,0.21172,0.41636,0.04476,0.01516,0.49295,0.89788,0.000351552,0.000351552,0.000351552
69,1393.98,0.35609,0.05401,0.07167,0.53734,0.854,0.81119,0.8156,0.83608,0.76555,0.20704,0.22691,0.22826,0.22008,0.41181,0.04402,0.01076,0.44384,0.89671,0.000348948,0.000348948,0.000348948
70,1413.96,0.39961,0.05471,0.06403,0.54305,0.8762,0.81955,0.79898,0.81736,0.74404,0.23028,0.21235,0.22565,0.21246,0.40601,0.05135,0.01543,0.47746,0.89284,0.000346345,0.000346345,0.000346345
71,1433.84,0.34601,0.05489,0.06524,0.5314,0.85241,0.94456,0.71569,0.81827,0.74733,0.31416,0.18339,0.22979,0.22049,0.42957,0.04588,0.01405,0.48076,0.89942,0.000343741,0.000343741,0.000343741
