epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,948.852,0.62399,0.12337,0.18583,1.00794,0.89099,0.63546,0.97528,0.73174,0.66104,0.25951,0.55357,0.30531,0.30531,0.47894,0.0359,0.02976,0.91549,0.83828,0.00060903,0.00060903,0.00060903
42,971.834,0.67337,0.10106,0.1743,0.99474,0.93948,0.63986,0.96429,0.72186,0.64242,0.26426,0.53571,0.29543,0.29543,0.45485,0.0414,0.02824,0.89282,0.83433,0.000601531,0.000601531,0.000601531
43,993.131,0.62843,0.11804,0.20522,1.00778,0.92133,0.66124,0.96247,0.74154,0.66263,0.26963,0.53569,0.31511,0.31511,0.46676,0.03617,0.03332,0.86629,0.83911,0.000594031,0.000594031,0.000594031
44,1015.67,0.64849,0.12619,0.20273,1.02367,0.90974,0.63226,0.97297,0.73335,0.64788,0.27037,0.55648,0.30693,0.30693,0.51053,0.03372,0.03713,0.902,0.84898,0.000586532,0.000586532,0.000586532
45,1037.45,0.67433,0.13972,0.22098,1.01867,0.91201,0.64305,0.96429,0.74343,0.64688,0.26858,0.53571,0.317,0.317,0.50062,0.03652,0.0361,0.88305,0.84331,0.000579033,0.000579033,0.000579033
46,1059.64,0.63003,0.12349,0.199,1.01804,0.91421,0.65894,0.97946,0.73529,0.65077,0.26986,0.5525,0.30886,0.30886,0.49431,0.03917,0.03292,0.82009,0.83723,0.000571534,0.000571534,0.000571534
47,1081.19,0.6064,0.10678,0.21453,0.95608,0.91358,0.6676,0.99537,0.73711,0.64296,0.27567,0.56746,0.31068,0.31068,0.56751,0.04344,0.04218,0.79543,0.85318,0.000564034,0.000564034,0.000564034
48,1103.62,0.68298,0.09397,0.19551,1.0092,0.92463,0.65554,0.99636,0.75894,0.67101,0.28251,0.56833,0.33251,0.33251,0.51747,0.03956,0.04858,0.79529,0.84346,0.000556535,0.000556535,0.000556535
49,1125.38,0.59805,0.13974,0.22664,0.927,0.90463,0.63009,0.98439,0.77302,0.70084,0.26167,0.57143,0.34659,0.34659,0.45343,0.0425,0.03559,0.83821,0.83753,0.000549036,0.000549036,0.000549036
50,1147.56,0.62395,0.1229,0.15735,0.95434,0.90096,0.64986,0.99892,0.73435,0.65984,0.26184,0.57143,0.30792,0.30792,0.44631,0.03597,0.03367,0.8432,0.83691,0.000541537,0.000541537,0.000541537
51,1170.19,0.62138,0.10187,0.16305,0.91397,0.89696,0.6554,0.96429,0.75087,0.68152,0.26604,0.57143,0.32445,0.32445,0.46429,0.03724,0.02946,0.7902,0.84113,0.000534037,0.000534037,0.000534037
52,1192.86,0.59527,0.11067,0.15635,0.89948,0.89385,0.65591,1,0.76207,0.69925,0.2647,0.57143,0.33564,0.33564,0.41083,0.03343,0.02395,0.74983,0.82981,0.000526538,0.000526538,0.000526538
53,1214.98,0.63604,0.10967,0.2178,0.98676,0.92713,0.65638,1,0.77077,0.69893,0.26863,0.57143,0.34434,0.34434,0.45921,0.03492,0.02765,0.7471,0.83322,0.000519039,0.000519039,0.000519039
54,1236.89,0.61272,0.10096,0.19697,0.93111,0.91417,0.65541,0.99231,0.76269,0.69871,0.26924,0.56905,0.33627,0.33627,0.40832,0.0275,0.02866,0.73397,0.82162,0.00051154,0.00051154,0.00051154
55,1258.81,0.59996,0.09249,0.1472,0.8941,0.91708,0.65359,0.99927,0.74727,0.69099,0.26756,0.57143,0.32084,0.32084,0.39921,0.02763,0.02403,0.71649,0.81487,0.00050404,0.00050404,0.00050404
56,1280.84,0.5867,0.09002,0.16524,0.90278,0.89774,0.65025,1,0.75216,0.67318,0.2675,0.57143,0.32573,0.32573,0.48656,0.03283,0.02181,0.74495,0.82784,0.000496541,0.000496541,0.000496541
57,1302.17,0.63169,0.08577,0.19243,0.92361,0.9022,0.64976,0.96429,0.76144,0.68022,0.26518,0.54418,0.33501,0.33329,0.45704,0.03366,0.02506,0.76005,0.82642,0.000489042,0.000489042,0.000489042
58,1324.02,0.57576,0.07796,0.18254,0.92741,0.8913,0.65519,1,0.75928,0.68164,0.26685,0.57143,0.33285,0.33285,0.44584,0.035,0.02553,0.78125,0.82509,0.000481543,0.000481543,0.000481543
59,1345.65,0.59303,0.08196,0.17323,0.91408,0.89187,0.64838,0.99402,0.73826,0.67869,0.26406,0.57143,0.31183,0.31183,0.42962,0.02702,0.02594,0.77366,0.82145,0.000474043,0.000474043,0.000474043
60,1367.75,0.54783,0.08621,0.16249,0.83176,0.87615,0.65799,0.94643,0.74768,0.67975,0.26832,0.51786,0.32125,0.32125,0.42581,0.02498,0.02323,0.77331,0.82225,0.000466544,0.000466544,0.000466544
61,1389.64,0.58419,0.11535,0.17733,0.95464,0.89472,0.66949,0.98214,0.76597,0.6944,0.28065,0.55357,0.33954,0.33954,0.44583,0.03025,0.01717,0.76227,0.82666,0.000459045,0.000459045,0.000459045
62,1411.79,0.56091,0.08078,0.18207,0.88444,0.89981,0.66987,0.98214,0.77144,0.69735,0.27384,0.55357,0.34501,0.34501,0.45516,0.02817,0.01944,0.73343,0.82888,0.000451546,0.000451546,0.000451546
63,1433.56,0.56719,0.12613,0.18514,0.94478,0.88144,0.66034,0.98214,0.7553,0.68099,0.26995,0.55357,0.32887,0.32887,0.44978,0.0245,0.02255,0.73577,0.82564,0.000444046,0.000444046,0.000444046
64,1457.55,0.5408,0.06972,0.13305,0.86161,0.87261,0.66562,0.96875,0.76318,0.71672,0.27432,0.55357,0.33675,0.33675,0.38536,0.02652,0.01868,0.71156,0.80828,0.000436547,0.000436547,0.000436547
65,1483.25,0.54012,0.08788,0.15402,0.82565,0.87185,0.66409,0.98214,0.76753,0.68725,0.27318,0.55357,0.3411,0.3411,0.47046,0.02479,0.02059,0.72041,0.82939,0.000429048,0.000429048,0.000429048
66,1504.93,0.54165,0.07585,0.11612,0.81434,0.88383,0.65898,1,0.76695,0.70455,0.26936,0.57143,0.34052,0.34052,0.38824,0.03423,0.02569,0.69675,0.81318,0.000421549,0.000421549,0.000421549
67,1527.49,0.59177,0.10338,0.13573,0.89982,0.89686,0.68496,0.99033,0.77853,0.69595,0.29123,0.56746,0.3521,0.3521,0.45527,0.02657,0.02078,0.69657,0.82567,0.000414049,0.000414049,0.000414049
68,1549.08,0.56193,0.10033,0.17013,0.84654,0.88503,0.67588,0.98793,0.75742,0.70264,0.28397,0.56133,0.33099,0.33099,0.38924,0.02512,0.02296,0.6712,0.81581,0.00040655,0.00040655,0.00040655
69,1571.2,0.5329,0.08812,0.15824,0.82448,0.88616,0.66428,0.98214,0.76577,0.68947,0.27444,0.55357,0.33935,0.33935,0.44729,0.01873,0.0256,0.68571,0.82655,0.000399051,0.000399051,0.000399051
70,1592.78,0.54232,0.08914,0.1302,0.84564,0.87579,0.6579,1,0.76681,0.69005,0.2693,0.57143,0.34038,0.34038,0.47427,0.02369,0.01979,0.67127,0.82897,0.000391552,0.000391552,0.000391552
71,1615.29,0.53638,0.08841,0.16109,0.79645,0.8806,0.65929,1,0.77379,0.69574,0.26997,0.57143,0.34736,0.34736,0.47025,0.02299,0.01898,0.67396,0.82867,0.000384052,0.000384052,0.000384052
72,1637.19,0.53879,0.08088,0.16151,0.88819,0.87078,0.67136,1,0.75291,0.6893,0.27619,0.57143,0.32648,0.32648,0.434,0.02209,0.0216,0.67426,0.82084,0.000376553,0.000376553,0.000376553
73,1658.85,0.50462,0.07914,0.13246,0.7945,0.86956,0.67133,1,0.75514,0.69575,0.27244,0.57143,0.32871,0.32871,0.38264,0.01963,0.02202,0.67544,0.8115,0.000369054,0.000369054,0.000369054
74,1681.24,0.5491,0.0754,0.15095,0.85271,0.87872,0.66914,0.99348,0.7531,0.68997,0.27683,0.56556,0.32667,0.32667,0.3759,0.023,0.0168,0.67641,0.80702,0.000361555,0.000361555,0.000361555
75,1702.85,0.53803,0.08696,0.1704,0.83412,0.89521,0.65816,0.9755,0.74293,0.68863,0.2687,0.57143,0.3165,0.3165,0.39691,0.02465,0.01664,0.68902,0.81153,0.000354055,0.000354055,0.000354055
76,1724.93,0.4961,0.06461,0.14962,0.75459,0.85462,0.65785,0.98073,0.76191,0.69757,0.27126,0.57143,0.33548,0.33548,0.45616,0.02241,0.02331,0.68373,0.82198,0.000346556,0.000346556,0.000346556
77,1746.5,0.5478,0.07652,0.15083,0.80292,0.89772,0.66078,0.98002,0.76014,0.70765,0.2717,0.55255,0.33371,0.33371,0.36087,0.022,0.02074,0.66655,0.80811,0.000339057,0.000339057,0.000339057
78,1769.16,0.52207,0.06814,0.13737,0.82565,0.86708,0.6601,0.9851,0.76759,0.69256,0.2737,0.5652,0.34116,0.34116,0.46072,0.01548,0.02071,0.67985,0.82518,0.000331558,0.000331558,0.000331558
